---
:temporal_student: &1 !ruby/object:Student
  username: sebastiancabarcas
  password: sebastian98
  name: Sebastian Cabarcas Garcia
  code: '200071162'
  schedule:
    Monday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '0'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '1'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Tuesday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '1'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '1'
      17:30 - 18:30: '1'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Wednesday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '1'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '0'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '1'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Thursday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '0'
      13:30 - 14:30: '1'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Friday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '1'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Saturday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '0'
      11:30 - 12:30: '0'
      12:30 - 13:30: '0'
      13:30 - 14:30: '0'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Sunday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '1'
      10:30 - 11:30: '0'
      11:30 - 12:30: '0'
      12:30 - 13:30: '0'
      13:30 - 14:30: '0'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
:rooms: []
:students:
- !ruby/object:Student
  username: djbarbosa
  password: Memolala123
  name: John D. Barbosa Rincones
  code: '200082263'
  schedule:
    Monday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '0'
      13:30 - 14:30: '0'
      14:30 - 15:30: '1'
      15:30 - 16:30: '0'
      16:30 - 17:30: '1'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Tuesday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '1'
      14:30 - 15:30: '1'
      15:30 - 16:30: '1'
      16:30 - 17:30: '1'
      17:30 - 18:30: '1'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Wednesday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '1'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '0'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '1'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '1'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Thursday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '0'
      13:30 - 14:30: '0'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '1'
      19:30 - 20:30: '1'
      20:30 - 21:30: '0'
    Friday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '0'
      13:30 - 14:30: '0'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Saturday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '0'
      11:30 - 12:30: '0'
      12:30 - 13:30: '0'
      13:30 - 14:30: '0'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Sunday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '1'
      10:30 - 11:30: '0'
      11:30 - 12:30: '0'
      12:30 - 13:30: '0'
      13:30 - 14:30: '0'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
- !ruby/object:Student
  username: sebastiancabarcas
  password: sebastian98
  name: Sebastian Cabarcas Garcia
  code: '200071162'
  schedule:
    Monday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '0'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '1'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Tuesday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '1'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '1'
      17:30 - 18:30: '1'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Wednesday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '1'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '0'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '1'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Thursday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '0'
      13:30 - 14:30: '1'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Friday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '1'
      11:30 - 12:30: '1'
      12:30 - 13:30: '1'
      13:30 - 14:30: '1'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Saturday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '0'
      10:30 - 11:30: '0'
      11:30 - 12:30: '0'
      12:30 - 13:30: '0'
      13:30 - 14:30: '0'
